Table 1
30,Six of Diamonds,Bet 6x the winning card face value of the next play,Bet 6x the winning card face value of the next play,Bet 6x the winning card face value of the next play,Bet 6x the winning card face value of the next play,Bet 6x the winning card face value of the next play,Bet 6x the winning card face value of the next play,Bet 6x the winning card face value of the next play,Bet 6x the winning card face value of the next play,Bet 6x the winning card face value of the next play,Bet 6x the winning card face value of the next play,,,,,,,,,,
35,Seven of Diamonds,Bet 7x the winning card face value of the next play,Bet 7x the winning card face value of the next play,Bet 7x the winning card face value of the next play,Bet 7x the winning card face value of the next play,Bet 7x the winning card face value of the next play,Bet 7x the winning card face value of the next play,Bet 7x the winning card face value of the next play,Bet 7x the winning card face value of the next play,Bet 7x the winning card face value of the next play,Bet 7x the winning card face value of the next play,,,,,,,,,,
40,Eight of Diamonds,Bet 8x the winning card face value of the next play,Bet 8x the winning card face value of the next play,Bet 8x the winning card face value of the next play,Bet 8x the winning card face value of the next play,Bet 8x the winning card face value of the next play,Bet 8x the winning card face value of the next play,Bet 8x the winning card face value of the next play,Bet 8x the winning card face value of the next play,Bet 8x the winning card face value of the next play,Bet 8x the winning card face value of the next play,,,,,,,,,,
45,Nine of Diamonds,Bet 9x the winning card face value of the next play,Bet 9x the winning card face value of the next play,Bet 9x the winning card face value of the next play,Bet 9x the winning card face value of the next play,Bet 9x the winning card face value of the next play,Bet 9x the winning card face value of the next play,Bet 9x the winning card face value of the next play,Bet 9x the winning card face value of the next play,Bet 9x the winning card face value of the next play,Bet 9x the winning card face value of the next play,,,,,,,,,,
50,Ten of Diamonds,Bet 10x the winning card face value of the next game,Bet 10x the winning card face value of the next game,Bet 10x the winning card face value of the next game,Bet 10x the winning card face value of the next game,Bet 10x the winning card face value of the next game,Bet 10x the winning card face value of the next game,Bet 10x the winning card face value of the next game,Bet 10x the winning card face value of the next game,Bet 10x the winning card face value of the next game,Bet 10x the winning card face value of the next game,,,,,,,,,,
55,Jack of Diamonds,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,,,,,,,,,,
60,Queen of Diamonds,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,,,,,,,,,,
65,King of Diamonds,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Can't be blocked,Special water,Glimmer,Electric fist,Radioactive stone axe,,Fire club,,,,Bow and arrow,,,,,,,,,,,
Hit,,Roll 1-10 1d20 to hit,,roll 3-5 1d6 to hit,,,,,,,,,,,,,,,,,
Take,,,x2 on take,,,x2 on take,,x3 on take,x3 on take,,x3 on take,,,,,,,,,,
Damage,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Roll 1-5 1d10 for hit back (roll = damage),,,,,,,,,,,,,,
Gold 10,Ace of Hearts,,,,,,,,,,,,,,,,,,,,
20,Two of Hearts,,,,,,,,,,,,,,,,,,,,
30,Three of Hearts,,,,,,,,,,,,,,,,,,,,
40,Four of Hearts,,,,,,,,,,,,,,,,,,,,
50,Five of Hearts,,,,,,,,,,,,,,,,,,,,
60,Six of Hearts,,,,,,,,,,,,,,,,,,,,
70,Seven of Hearts,,,,,,,,,,,,,,,,,,,,
80,Eight of Hearts,,,,,,,,,,,,,,,,,,,,
90,Nine of Hearts,,,,,,,,,,,,,,,,,,,,
100,Ten of Hearts,,,,,,,,,,,,,,,,,,,,
110,Jack of Hearts,,,,,,,,,,,,,,,,,,,,
120,Queen of Hearts,,,,,,,,,,,,,,,,,,,,
130,King of Hearts,,,,,,,,,,,,,,,,,,,,
