33,Yeti,Arulataq,Orang Pendek,Nyalmo,Momo,Hibagon,Mande Burung,Gugwe,Yeren,Orang Mawas,Ine Weu,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,PNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kapre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,Kapre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Agogwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,Kapre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ohio River Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Agogwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,Kapre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,Grassman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,Agogwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2,Kapre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4,Grassman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,Moehau ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
